indikator,jahr,region,region_typ,gruppe,gruppe_typ,wert,einheit,quelle
stimmenanteil,2021,Deutschland,bund,MLPD,partei,0.038,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Deutschland,bund,MENSCHLICHE WELT,partei,0.001,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Deutschland,bund,MENSCHLICHE WELT,partei,0.008,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Deutschland,bund,PdF,partei,0.043,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Deutschland,bund,PdF,partei,0.007,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Deutschland,bund,SGP,partei,0.001,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Deutschland,bund,SGP,partei,0.003,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Deutschland,bund,BüSo,partei,0.001,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Deutschland,bund,BüSo,partei,0.001,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Deutschland,bund,BÜNDNIS DEUTSCHLAND,partei,0.154,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Deutschland,bund,BSW,partei,4.981,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Deutschland,bund,MERA25,partei,0.014,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Deutschland,bund,WerteUnion,partei,0.014,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
wahlbeteiligung,2025,Schleswig-Holstein,land,gesamt,gesamt,83.523,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
wahlbeteiligung,2021,Schleswig-Holstein,land,gesamt,gesamt,78.151,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Schleswig-Holstein,land,SPD,partei,18.752,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Schleswig-Holstein,land,SPD,partei,28.027,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Schleswig-Holstein,land,CDU,partei,27.576,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Schleswig-Holstein,land,CDU,partei,22.034,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Schleswig-Holstein,land,GRÜNE,partei,14.889,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Schleswig-Holstein,land,GRÜNE,partei,18.31,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Schleswig-Holstein,land,FDP,partei,4.689,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Schleswig-Holstein,land,FDP,partei,12.483,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Schleswig-Holstein,land,AfD,partei,16.285,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Schleswig-Holstein,land,AfD,partei,6.783,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Schleswig-Holstein,land,Die Linke,partei,7.789,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Schleswig-Holstein,land,Die Linke,partei,3.644,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Schleswig-Holstein,land,SSW,partei,4.05,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Schleswig-Holstein,land,SSW,partei,3.153,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Schleswig-Holstein,land,Die PARTEI,partei,0.73,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Schleswig-Holstein,land,Die PARTEI,partei,1.014,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Schleswig-Holstein,land,FREIE WÄHLER,partei,0.727,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Schleswig-Holstein,land,FREIE WÄHLER,partei,0.967,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Schleswig-Holstein,land,Volt,partei,0.877,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Schleswig-Holstein,land,Volt,partei,0.236,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Schleswig-Holstein,land,MLPD,partei,0.031,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Schleswig-Holstein,land,MLPD,partei,0.018,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Schleswig-Holstein,land,BÜNDNIS DEUTSCHLAND,partei,0.159,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Schleswig-Holstein,land,BSW,partei,3.446,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Schleswig-Holstein,land,dieBasis,partei,1.328,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Schleswig-Holstein,land,Team Todenhöfer,partei,0.301,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Schleswig-Holstein,land,ÖDP,partei,0.087,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Schleswig-Holstein,land,PdH,partei,0.1,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Schleswig-Holstein,land,Tierschutzpartei,partei,1.172,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
wahlbeteiligung,2025,Mecklenburg-Vorpommern,land,gesamt,gesamt,79.479,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
wahlbeteiligung,2021,Mecklenburg-Vorpommern,land,gesamt,gesamt,71.136,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Mecklenburg-Vorpommern,land,SPD,partei,12.405,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Mecklenburg-Vorpommern,land,SPD,partei,29.098,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Mecklenburg-Vorpommern,land,AfD,partei,34.993,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Mecklenburg-Vorpommern,land,AfD,partei,17.994,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Mecklenburg-Vorpommern,land,CDU,partei,17.817,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Mecklenburg-Vorpommern,land,CDU,partei,17.424,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Mecklenburg-Vorpommern,land,Die Linke,partei,12.05,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Mecklenburg-Vorpommern,land,Die Linke,partei,11.072,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Mecklenburg-Vorpommern,land,FDP,partei,3.2,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Mecklenburg-Vorpommern,land,FDP,partei,8.223,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Mecklenburg-Vorpommern,land,GRÜNE,partei,5.358,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Mecklenburg-Vorpommern,land,GRÜNE,partei,7.831,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Mecklenburg-Vorpommern,land,Tierschutzpartei,partei,1.533,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Mecklenburg-Vorpommern,land,Tierschutzpartei,partei,2.24,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Mecklenburg-Vorpommern,land,FREIE WÄHLER,partei,1.059,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Mecklenburg-Vorpommern,land,FREIE WÄHLER,partei,1.452,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Mecklenburg-Vorpommern,land,Volt,partei,0.622,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Mecklenburg-Vorpommern,land,Volt,partei,0.207,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Mecklenburg-Vorpommern,land,MLPD,partei,0.082,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Mecklenburg-Vorpommern,land,MLPD,partei,0.077,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Mecklenburg-Vorpommern,land,BÜNDNIS DEUTSCHLAND,partei,0.318,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Mecklenburg-Vorpommern,land,BSW,partei,10.563,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Mecklenburg-Vorpommern,land,dieBasis,partei,1.778,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Mecklenburg-Vorpommern,land,Team Todenhöfer,partei,0.234,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Mecklenburg-Vorpommern,land,ÖDP,partei,0.129,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Mecklenburg-Vorpommern,land,PdH,partei,0.139,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Mecklenburg-Vorpommern,land,Die PARTEI,partei,0.86,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Mecklenburg-Vorpommern,land,PIRATEN,partei,0.464,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
wahlbeteiligung,2025,Hamburg,land,gesamt,gesamt,80.875,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
wahlbeteiligung,2021,Hamburg,land,gesamt,gesamt,77.845,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Hamburg,land,SPD,partei,22.737,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Hamburg,land,SPD,partei,29.67,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Hamburg,land,GRÜNE,partei,19.291,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Hamburg,land,GRÜNE,partei,24.915,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Hamburg,land,CDU,partei,20.747,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Hamburg,land,CDU,partei,15.436,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Hamburg,land,FDP,partei,4.506,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Hamburg,land,FDP,partei,11.397,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Hamburg,land,Die Linke,partei,14.452,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Hamburg,land,Die Linke,partei,6.721,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Hamburg,land,AfD,partei,10.865,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Hamburg,land,AfD,partei,5.026,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Hamburg,land,Tierschutzpartei,partei,0.931,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Hamburg,land,Tierschutzpartei,partei,1.226,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Hamburg,land,Die PARTEI,partei,0.432,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Hamburg,land,Die PARTEI,partei,1.009,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Hamburg,land,FREIE WÄHLER,partei,0.37,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Hamburg,land,FREIE WÄHLER,partei,0.557,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Hamburg,land,Volt,partei,1.487,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Hamburg,land,Volt,partei,0.54,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Hamburg,land,MLPD,partei,0.05,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Hamburg,land,MLPD,partei,0.035,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Hamburg,land,BÜNDNIS DEUTSCHLAND,partei,0.122,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Hamburg,land,BSW,partei,4.009,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Hamburg,land,dieBasis,partei,1.388,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Hamburg,land,Team Todenhöfer,partei,0.89,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Hamburg,land,ÖDP,partei,0.2,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Hamburg,land,PdH,partei,0.12,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Hamburg,land,PIRATEN,partei,0.435,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
wahlbeteiligung,2025,Niedersachsen,land,gesamt,gesamt,83.418,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
wahlbeteiligung,2021,Niedersachsen,land,gesamt,gesamt,74.74,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Niedersachsen,land,SPD,partei,23.0,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Niedersachsen,land,SPD,partei,33.129,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Niedersachsen,land,CDU,partei,28.122,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Niedersachsen,land,CDU,partei,24.177,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Niedersachsen,land,GRÜNE,partei,11.502,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
